Timestamp,Please rate each of the following: [I want to get married.],Please rate each of the following: [Marriage comes with unique benefits.],Please rate each of the following: [Everyone should get married.],Please rate each of the following: [Marriage is more than a legal document.],Please rate each of the following: [I believe marriage is an outdated idea.],Please rate each of the following: [People can be happy and not get married.],Please rate each of the following: [I think relationships should have the goal of getting married.],Please rate each of the following: [Marriage comes with unique challenges. ],Please rate each of the following: [I feel marriage is the highest level in a relationship.],Please rate each of the following: [I do not want to get married.],Please rate each of the following: [I think marriage is important.],Please rate each of the following: [Money is a really good indicator of a person’s life achievements and success.],Please rate each of the following: [One of the best measures of success in life is how much money you have earned. ],Please rate each of the following: [Being rich is a sign of a great achievement.],Please rate each of the following: [I feel anxious and defensive when talking about my personal finances.],Please rate each of the following: [I am pretty good at budgeting. ],Please rate each of the following: [I am hesitant when it comes to making changes.],Please rate each of the following: [Facing uncertainty is a nerve wracking experience.],Please rate each of the following: [I think variety is the spice of life.],Please rate each of the following: [I try to have my life and career clearly mapped out.],Please rate each of the following: [Taking chances is part of life.],How old are you? ,What is your gender?,What is your sexual orientation? ,Are you married?,"Are you religious? If so, what is your affiliation? ",How religious are you?,"If you have any questions or comments, leave it down below. "
2/19/2026 9:04:51,Strongly Agree (7),Strongly Agree (7),2,Strongly Agree (7),Strongly Disagree (1),5,6,Strongly Agree (7),Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),2,2,2,6,Strongly Disagree (1),4,6,6,6,6,59,Female,Heterosexual / Straight,Yes,Christian,6,
2/19/2026 9:05:31,5,6,2,6,4,6,3,6,3,4,5,3,3,5,4,5,6,Strongly Agree (7),2,5,4,21,Male,Heterosexual / Straight,No,Christianity,2,
2/19/2026 10:01:42,3,3,3,3,Strongly Disagree (1),3,3,3,2,Strongly Disagree (1),3,Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),Strongly Disagree (1),3,Strongly Disagree (1),Strongly Disagree (1),2,Strongly Disagree (1),2,51,Female,Heterosexual / Straight,Yes,Protestant ,7,
2/19/2026 10:04:15,5,4,Strongly Disagree (1),5,5,Strongly Agree (7),5,Strongly Agree (7),5,2,4,2,2,2,4,5,4,5,6,2,6,20,Female,Heterosexual / Straight,No,No,3,
2/19/2026 10:04:51,Strongly Agree (7),4,Strongly Disagree (1),Strongly Agree (7),3,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),5,Strongly Disagree (1),5,2,2,4,2,Strongly Disagree (1),6,6,6,4,6,21,Female,Heterosexual / Straight,No,Episcopalian ,4,
2/19/2026 10:08:42,3,Strongly Agree (7),6,Strongly Agree (7),Strongly Disagree (1),6,6,Strongly Agree (7),Strongly Agree (7),4,Strongly Agree (7),2,Strongly Disagree (1),Strongly Disagree (1),4,Strongly Agree (7),2,5,Strongly Agree (7),2,Strongly Agree (7),61,Female,Heterosexual / Straight,Divorced or Separated,Catholic ,7,
2/19/2026 10:09:45,Strongly Agree (7),Strongly Agree (7),2,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),4,Strongly Agree (7),5,Strongly Disagree (1),Strongly Agree (7),2,Strongly Disagree (1),4,5,4,6,Strongly Agree (7),5,5,Strongly Agree (7),21,Male,Heterosexual / Straight,No,agnostic,1,
2/19/2026 10:12:34,Strongly Agree (7),6,Strongly Disagree (1),6,5,6,6,6,6,Strongly Disagree (1),5,5,5,5,3,6,5,6,5,5,Strongly Agree (7),20,Female,Heterosexual / Straight,No,christian ,3,
2/19/2026 10:24:14,4,Strongly Agree (7),Strongly Disagree (1),5,5,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),Strongly Disagree (1),4,5,5,3,Strongly Disagree (1),4,3,Strongly Disagree (1),3,5,4,Strongly Agree (7),44,Female,Heterosexual / Straight,Yes,No,2,
2/19/2026 10:25:14,6,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),2,Strongly Agree (7),Strongly Disagree (1),Strongly Agree (7),3,2,4,Strongly Disagree (1),Strongly Disagree (1),2,5,6,Strongly Agree (7),Strongly Agree (7),3,Strongly Agree (7),Strongly Agree (7),18,Non-binary / Third Gender,Bisexual,No,presbyterian ,4,
